iter	Passed	Remaining
0	61	61788
1	62	31024
2	62	20763
3	62	15628
4	63	12556
5	63	10501
6	63	9031
7	63	7932
8	64	7079
9	64	6393
10	64	5832
11	65	5364
12	65	4971
13	65	4634
14	66	4340
15	66	4084
16	66	3856
17	66	3654
18	67	3474
19	67	3313
20	67	3166
21	68	3033
22	68	2911
23	68	2798
24	69	2698
25	69	2605
26	69	2517
27	70	2436
28	70	2359
29	70	2288
30	71	2222
31	71	2160
32	71	2101
33	72	2050
34	72	1999
35	72	1954
36	73	1909
37	73	1867
38	74	1825
39	74	1785
40	74	1746
41	74	1709
42	75	1675
43	75	1641
44	75	1609
45	76	1578
46	76	1550
47	76	1522
48	77	1495
49	77	1471
50	77	1447
51	78	1422
52	78	1399
53	78	1379
54	79	1358
55	79	1338
56	79	1318
57	79	1299
58	80	1280
59	80	1263
60	80	1246
61	81	1232
62	81	1216
63	82	1200
64	82	1185
65	82	1172
66	83	1159
67	83	1144
68	83	1132
69	84	1119
70	85	1116
71	85	1105
72	86	1094
73	86	1084
74	87	1073
75	87	1063
76	87	1054
77	88	1043
78	88	1033
79	88	1022
80	89	1012
81	89	1002
82	89	992
83	90	984
84	90	974
85	90	966
86	91	956
87	91	947
88	91	939
89	92	930
90	92	923
91	92	915
92	93	907
93	93	901
94	93	894
95	94	887
96	94	880
97	94	873
98	95	866
99	95	860
100	96	855
101	96	847
102	96	840
103	96	834
104	97	828
105	97	823
106	98	818
107	98	813
108	98	807
109	99	801
110	99	796
111	99	792
112	100	787
113	100	782
114	100	777
115	101	771
116	101	766
117	101	761
118	102	755
119	102	751
120	102	747
121	103	743
122	103	738
123	103	734
124	104	730
125	104	726
126	105	722
127	105	717
128	105	714
129	106	711
130	106	708
131	107	704
132	107	700
133	107	696
134	108	692
135	108	688
136	108	685
137	109	682
138	109	679
139	110	676
140	110	673
141	110	669
142	111	666
143	111	663
144	112	660
145	112	657
146	112	653
147	113	651
148	113	647
149	113	644
150	114	641
151	114	638
152	114	635
153	114	631
154	115	628
155	115	625
156	115	622
157	116	619
158	116	616
159	116	613
160	117	610
161	117	607
162	117	604
163	118	601
164	118	599
165	118	596
166	119	593
167	119	591
168	119	588
169	120	586
170	120	583
171	120	580
172	120	578
173	121	575
174	121	573
175	121	571
176	122	568
177	122	566
178	123	564
179	123	561
180	123	558
181	123	555
182	124	554
183	124	552
184	124	549
185	125	547
186	125	545
187	125	543
188	126	541
189	126	539
190	126	537
191	127	534
192	127	532
193	127	530
194	127	528
195	128	526
196	128	523
197	128	521
198	129	519
199	129	517
200	129	515
201	130	513
202	130	512
203	130	510
204	131	508
205	131	506
206	131	504
207	132	503
208	132	501
209	132	499
210	132	497
211	133	495
212	133	493
213	133	491
214	134	490
215	134	488
216	134	486
217	135	485
218	135	483
219	135	482
220	136	480
221	136	478
222	136	476
223	137	475
224	137	473
225	137	471
226	138	470
227	138	469
228	138	467
229	139	466
230	139	464
231	139	463
232	140	462
233	140	460
234	141	459
235	141	458
236	142	457
237	142	456
238	142	454
239	143	453
240	143	452
241	143	450
242	144	450
243	144	448
244	145	447
245	145	446
246	146	445
247	146	443
248	146	442
249	146	440
250	147	439
251	147	438
252	147	436
253	148	435
254	148	434
255	148	432
256	149	431
257	149	430
258	150	429
259	150	427
260	150	426
261	151	425
262	151	424
263	151	423
264	152	422
265	152	421
266	153	420
267	153	419
268	153	417
269	154	416
270	154	415
271	154	414
272	155	412
273	155	411
274	155	410
275	156	409
276	156	408
277	157	407
278	157	406
279	157	405
280	158	404
281	158	403
282	158	402
283	159	401
284	159	400
285	159	399
286	160	397
287	160	396
288	160	395
289	161	394
290	161	393
291	161	391
292	161	390
293	162	389
294	162	388
295	162	387
296	163	385
297	163	384
298	163	383
299	163	382
300	164	381
301	164	380
302	164	379
303	165	377
304	165	376
305	165	375
306	165	374
307	166	373
308	166	372
309	166	371
310	167	370
311	167	369
312	167	368
313	168	367
314	168	366
315	168	364
316	168	363
317	169	362
318	169	361
319	169	360
320	169	359
321	170	358
322	170	357
323	170	356
324	171	355
325	171	354
326	171	353
327	171	352
328	172	351
329	172	350
330	172	349
331	173	348
332	173	347
333	173	346
334	173	345
335	174	344
336	174	343
337	174	342
338	175	341
339	175	340
340	175	339
341	175	338
342	176	337
343	176	336
344	176	335
345	177	334
346	177	333
347	177	332
348	177	331
349	178	330
350	178	329
351	178	329
352	179	328
353	179	327
354	179	326
355	179	325
356	180	324
357	180	323
358	180	322
359	181	321
360	181	321
361	181	320
362	182	319
363	182	318
364	182	317
365	182	316
366	183	315
367	183	314
368	183	314
369	183	313
370	184	312
371	184	311
372	184	310
373	185	309
374	185	308
375	185	308
376	185	307
377	186	306
378	186	305
379	186	304
380	187	303
381	187	302
382	187	302
383	187	301
384	188	300
385	188	299
386	188	299
387	189	298
388	189	297
389	189	296
390	189	295
391	190	295
392	190	294
393	190	293
394	191	292
395	191	291
396	191	291
397	191	290
398	192	289
399	192	288
400	192	287
401	193	287
402	193	286
403	193	285
404	193	284
405	194	284
406	194	283
407	194	282
408	195	281
409	195	281
410	195	280
411	195	279
412	196	278
413	196	277
414	196	277
415	196	276
416	197	275
417	197	274
418	197	274
419	198	273
420	198	272
421	198	272
422	198	271
423	199	270
424	199	269
425	199	269
426	200	268
427	200	267
428	200	266
429	200	266
430	201	265
431	201	264
432	201	264
433	201	263
434	202	262
435	202	261
436	202	261
437	203	260
438	203	259
439	203	259
440	203	258
441	204	257
442	204	257
443	204	256
444	205	255
445	205	255
446	205	254
447	206	253
448	206	253
449	206	252
450	207	252
451	207	251
452	207	250
453	207	250
454	208	249
455	208	248
456	208	248
457	208	247
458	209	246
459	209	246
460	209	245
461	210	244
462	210	244
463	210	243
464	210	242
465	211	242
466	211	241
467	211	240
468	212	240
469	212	239
470	212	238
471	212	238
472	213	237
473	213	236
474	213	236
475	214	235
476	214	235
477	214	234
478	214	233
479	215	233
480	215	232
481	215	231
482	216	231
483	216	230
484	216	230
485	216	229
486	217	228
487	217	228
488	217	227
489	217	226
490	218	226
491	218	225
492	218	225
493	219	224
494	219	223
495	219	223
496	219	222
497	220	222
498	220	221
499	220	220
500	221	220
501	221	219
502	221	219
503	221	218
504	222	217
505	222	217
506	222	216
507	223	215
508	223	215
509	223	214
510	223	214
511	224	213
512	224	213
513	224	212
514	225	212
515	225	211
516	225	210
517	226	210
518	226	209
519	226	209
520	226	208
521	227	208
522	227	207
523	227	206
524	228	206
525	228	205
526	228	205
527	228	204
528	229	204
529	229	203
530	229	202
531	230	202
532	230	201
533	230	201
534	230	200
535	231	200
536	231	199
537	231	199
538	232	198
539	232	197
540	232	197
541	232	196
542	233	196
543	233	195
544	233	195
545	234	194
546	234	194
547	234	193
548	235	193
549	235	192
550	235	192
551	236	191
552	236	191
553	236	190
554	237	190
555	237	189
556	237	189
557	237	188
558	238	187
559	238	187
560	238	186
561	239	186
562	239	185
563	239	185
564	239	184
565	240	184
566	240	183
567	240	183
568	241	182
569	241	182
570	241	181
571	242	181
572	242	180
573	242	180
574	242	179
575	243	179
576	243	178
577	243	178
578	244	177
579	244	176
580	244	176
581	244	175
582	245	175
583	245	174
584	245	174
585	246	173
586	246	173
587	246	172
588	246	172
589	247	171
590	247	171
591	247	170
592	248	170
593	248	169
594	248	169
595	248	168
596	249	168
597	249	167
598	249	167
599	250	166
600	250	166
601	250	165
602	250	165
603	251	164
604	251	164
605	251	163
606	252	163
607	252	162
608	252	162
609	252	161
610	253	161
611	253	160
612	253	160
613	253	159
614	254	159
615	254	158
